"","Neurons","OPC","Astrocytes","Oligodendrocytes","Microglia","Endothelial"
"ENSG00000132639.12",2.39527187711513,0.59939377416544,-0.00150886098675775,0.263597666920294,-0.563399642755059,0.0716069456881136
"ENSG00000104435.13",1.76087730947694,-0.708928923957321,-0.517200634408711,-0.119564255180772,-0.456917950468139,-0.405749851626408
"ENSG00000214548.14",2.07243654842145,0.689349071316517,-0.233940831677691,-0.109598359307325,-0.496880143158711,0.0880796579920261
"ENSG00000067715.13",1.98908474765363,-0.73566817708461,-0.0687443907502179,0.0738849008229628,-0.508151085779278,0.01083721038853
"ENSG00000133169.5",2.36606901299617,0.906236150361697,0.0828023622154923,0.534827168326832,-0.436931011560575,-0.188567570449373
"ENSG00000163032.11",1.71316508866184,-0.562853329268618,-0.308650839529037,-0.149946245881752,-0.540939896492304,-0.382729940760047
"ENSG00000171951.4",2.04617543917039,0.305880216396864,0.0597002114248887,-0.0504624839993624,-0.563399642755059,-0.285727446373133
"ENSG00000154277.12",1.9275316799185,-0.013140758331629,-0.0453932798648192,-0.0362927402421224,-0.429828688778171,-0.218294324996454
"ENSG00000163630.10",1.49283914114326,-0.605073229665391,-0.451953488887803,-0.34797457698485,-0.56339964275506,-0.402827795366885
"ENSG00000139970.16",1.79172276944609,-0.208346729823411,-0.202510524545936,-0.0149268123140303,-0.400508632664382,-0.0876500685115475
"ENSG00000114279.13",1.7243069221292,1.01069013347412,-0.490712605863588,-0.225207422190345,-0.357487084553246,-0.134640866678196
"ENSG00000166922.8",1.96969854138446,0.548908242078606,-0.404830602152017,0.78098744529099,-0.436136929203112,-0.35033409579503
"ENSG00000133134.11",1.94833625670341,0.159938411174905,-0.146790449760594,0.480261262698724,-0.394298411741857,-0.141926536566903
"ENSG00000144834.13",1.44238941848561,-0.515699483115893,-0.4182335679741,-0.310775003231234,-0.344293652412076,-0.323474163377966
"ENSG00000186310.9",1.69248424832132,-0.101326796206193,-0.168283040492034,0.124163448236606,-0.56339964275506,-0.402133019337223
"ENSG00000022355.16",1.41297469883315,-0.579626422206729,-0.429766031986103,-0.194235457488195,-0.557314783851343,-0.30761237677963
"ENSG00000203930.10",1.75672186961656,0.200611825503114,-0.291205946221906,0.30164752040955,-0.368209511460782,-0.246093053031521
"ENSG00000187094.11",1.44621764049215,-0.73566817708461,-0.240544675252999,-0.138860395882423,-0.56339964275506,-0.13606099775874
"ENSG00000240694.8",1.37796677992657,-0.577648250256023,-0.231268625025352,-0.32096008044513,-0.56339964275506,-0.359790101159314
"ENSG00000128683.13",1.37352717354061,0.0176892787186948,-0.393774925988106,-0.28436810066586,-0.559389434361812,-0.496487679387647
"ENSG00000162188.5",1.18515468599574,-0.510337570206391,-0.489554488148216,-0.326418345523094,-0.563399642755059,-0.540768788362816
"ENSG00000113327.14",1.22204371691721,-0.635982082790802,-0.395124656871517,-0.292485353921967,-0.56339964275506,-0.450451626938117
"ENSG00000136531.14",1.28073190260594,-0.115731056157255,-0.444369079458185,-0.355692571632985,-0.56339964275506,-0.237263638128645
"ENSG00000145864.12",1.15040504451846,-0.644219253280721,-0.41765303185879,-0.411387721024014,-0.552779940796878,-0.47822715421822
"ENSG00000257151.1",1.46401371459353,-0.375520906372325,0.0660529081445385,-0.283652706665802,-0.563399642755059,-0.321791253059943
"ENSG00000116147.16",0.131288402271575,1.44907506002495,-0.447521544130698,-0.391914751327987,-0.471399660902477,-0.515478111719287
"ENSG00000038427.15",-0.344425934814421,1.19469846343301,-0.456044043878942,-0.440777488561176,-0.322699206305406,-0.342659686464646
"ENSG00000134853.11",-0.429121832250051,0.945902898765088,-0.596459558953357,-0.459505986949342,-0.484432855262739,-0.336675223310487
"ENSG00000156966.6",-0.382374920006062,0.917950285946953,-0.570739588719834,-0.306617756671864,-0.372767883539848,-0.477463302909548
"ENSG00000186369.10",-0.0925855649153206,1.00745067211196,-0.575031849814405,-0.488141218720417,-0.442505060345897,-0.630969813962024
"ENSG00000188906.14",-0.289198724660761,0.820525440485857,-0.419903846343388,-0.484926147553986,-0.392456490350587,-0.386777938451103
"ENSG00000150275.17",-0.300369992542829,0.620763813984105,-0.584361528241036,-0.499950792084255,-0.37113233148414,-0.609240916052251
"ENSG00000157890.17",-0.36825798352714,0.573725484801443,-0.56679064131923,-0.463955589545747,-0.537724019970743,-0.57142340840349
"ENSG00000103489.11",-0.426643586994627,0.539681199176465,-0.527780908244455,-0.420839225810659,-0.534217016085891,-0.591489888820276
