SRR1033783	SRR1033784	SRR1033785	SRR1033786	SRR1033787	SRR1033788	SRR1033789	SRR1033790	SRR1033791	SRR1033792	SRR1033793	SRR1033794	SRR1033795	SRR1033796
ENSMUSG00000102693	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	7	6	1059	757	713	239	233	70	63	68	0	0	5	1
ENSMUSG00000102851	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	27	1	9	1	0	0	0	1	28	12	0	0
ENSMUSG00000104017	0	0	27	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	9	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	13	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	0	3	0	2	2	2	4	0	1	0	1	0	0
ENSMUSG00000103161	0	0	13	2	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	1	30	9	9	7	5	2	0	4	2	10	1	0
ENSMUSG00000102348	0	0	1	3	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	6	10	0	2	0	0	0	0	0	2	0	0	29	20
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	14	12	13	6	10	1	0	1	2	2	3	26	2477	2252
ENSMUSG00000104238	0	2	0	0	0	0	0	0	0	0	0	0	59	42
ENSMUSG00000102269	0	0	0	0	1	0	0	0	0	0	0	0	2	0
ENSMUSG00000096126	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	4	6	8	9	5	12	4	5	1	4	12	20	22	14
ENSMUSG00000102175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	14	18	14	19	10	16	12	12	9	11	5	8	9	10
ENSMUSG00000033845	220	179	286	223	262	461	193	284	228	164	124	143	364	410
ENSMUSG00000102275	5	3	3	1	2	0	2	1	1	1	1	7	0	2
ENSMUSG00000025903	178	380	218	201	380	201	139	63	44	20	73	48	1100	1043
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	403	405	824	707	683	612	647	463	346	320	276	136	1183	1619
ENSMUSG00000062588	14	17	42	46	20	19	7	11	2	7	0	0	16	18
ENSMUSG00000103280	144	102	11	23	14	3	7	6	2	1	0	0	0	1
ENSMUSG00000002459	1495	1447	119	110	308	134	40	26	17	39	9	5	10	1
ENSMUSG00000091305	15	7	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000102653	15	20	4	2	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	22	18	8	4	4	0	1	0	0	0	0	1	0	0
ENSMUSG00000091665	3	2	0	3	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000033793	573	614	1337	1565	812	940	1423	1354	681	772	634	535	1092	1079
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	3	5	48	23	3	3	0	0	0	3	1	0	0	1
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	31	7	1	0	32	13	25	14	1	1	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	842	1018	1050	1610	1136	526	812	324	99	104	90	42	1167	1166
ENSMUSG00000090031	47	35	72	65	44	32	45	27	7	15	5	4	41	33
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	1	3	1	0	0	0	0	0	0	0	2	1
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	3	4	27	23	10	5	22	15	18	16	0	2	2	2
ENSMUSG00000033740	0	4	191	300	10	7	1417	497	309	419	0	0	3	0
ENSMUSG00000103329	0	0	3	9	0	0	25	4	2	8	0	0	1	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	1	4	10	3	4	3	3	1	3	12	7	18	26
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	1126	1422	1138	1141	1243	381	1281	425	275	295	116	48	1423	1359
ENSMUSG00000098201	1	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	229	280	86	48	198	23	147	14	1	4	8	0	18	12
ENSMUSG00000048538	10	25	46	20	38	52	30	43	52	40	18	28	15	49
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	4	6	28	37	15	4	7	2	1	3	1	0	3	5
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	1	1	220	214	750	532	175	132	1	11	6	4	5	2
ENSMUSG00000102647	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	2	0	1	1	0	0	0	0	0	0	0	1
ENSMUSG00000102253	0	0	5	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	2	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	3	1	7	0	17	8	2	2	2	0	6	3	15	21
ENSMUSG00000103933	0	0	0	0	0	2	0	0	0	0	0	0	3	6
ENSMUSG00000076135	0	0	0	2	2	0	0	0	1	0	0	0	4	2
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000102316	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	6	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	1	1	0	0	0	0	0	0	0	0	0	0	0	0
