Input Sample,Endothelial,Neuron,Astrocyte,Pre Oligo,New Oligo,Mye-Oligo,Microglia,P-value,Pearson Correlation,RMSE
Sample_041615_86_AdultHet_H5TJTBBXX,0.024908567897979114,0.44924189163580636,0.25434777861047475,0.05448230901360025,0.009077542132558066,0.1828489366895319,0.025092974020049574,0,0.5529829656124441,0.833363704289932
Sample_062115_1_p21_H_C7DMTACXX,0.038499774401091126,0.42097229378715806,0.2165394068884005,0.031661153774748194,0.11528138660605483,0.15543244516174007,0.02161353938080723,0,0.5628659777281997,0.8270085170251812
Sample_062115_2_p21_H_C7DMTACXX,0.03844038994541936,0.4511217424778512,0.2555431326537202,0.037871791046158454,0.11334961178935853,0.08618540705154405,0.01748792503594827,0,0.5381477907325011,0.8439281400130048
Sample_062115_3_p21_H_C7DMTACXX,0.018840557006833437,0.366764011908091,0.1857912418798022,0.05052525214482294,0.09174341632922502,0.27520323320054996,0.011132287530675371,0,0.6487305515889096,0.7607310611135517
Sample_070415_114_AdultHet_H5TJTBBXX,0.016067411989335458,0.4335850115056248,0.23613999707732325,0.052986824039206924,0.03263906205570728,0.20914500975197894,0.019436683580823344,0,0.5346932063961246,0.8470948769897929
Sample_070415_3_p21_WT_C7DMTACXX,0.03226255586274355,0.3990210501019605,0.1990435428147043,0.029204025693087266,0.18111308628224634,0.13905948211998936,0.020296257125268693,0,0.6204295958468243,0.7838954002446009
Sample_070415_4_p21_WT_C7DMTACXX,0.04436150885656182,0.4519501420749043,0.2406473156640781,0.024869696058133845,0.12191220005400856,0.09706753679305656,0.019191600499256785,0,0.5548274987505029,0.8323076649313992
Sample_070415_5_p21_WT_C7DMTACXX,0.048848401546406156,0.38786252271719396,0.22342161913654254,0.034379891930993785,0.1211816525484553,0.16785415976419946,0.016451752356208816,0,0.6056705385438979,0.7953025516033848
Sample_073014_29_AdultWT_H5TJTBBXX,0.027611718069307477,0.40915864934743373,0.269558151385352,0.04229093673122554,0,0.23090097313722935,0.0204795713294518,0,0.5992244441271762,0.800158907162096
Sample_073014_31_AdultWT_H5TJTBBXX,0.013576717944470658,0.3436372865965082,0.2252624633138195,0.049167352739556566,0,0.3477535532661828,0.020602626139462284,0,0.6109073094609002,0.7922436723190275
