Input Sample,Endothelial,Neuron,Astrocyte,Pre Oligo,New Oligo,Mye-Oligo,Microglia,P-value,Pearson Correlation,RMSE
Sample_041615_86_AdultHet_H5TJTBBXX,0.020817861794102357,0.4551425061829787,0.24278757166148962,0.05244809165650922,0.003249042870393233,0.2016501288800337,0.02390479695449318,0,0.543530178902212,0.8401963516195765
Sample_062115_1_p21_H_C7DMTACXX,0.02824711216807548,0.41268693272460455,0.20847795374748432,0.0281316051059048,0.15295583689126296,0.1498302884512068,0.01967027091146105,0,0.5729564158604611,0.8205988123970733
Sample_062115_2_p21_H_C7DMTACXX,0.03745110133375506,0.43398269070248535,0.2539823265156783,0.03601413851881861,0.12874404004834136,0.09228620054139974,0.017539502339521625,0,0.5420078369444159,0.8414259949983135
Sample_062115_3_p21_H_C7DMTACXX,0.03596954807412008,0.37722553603470554,0.2177238767887355,0.037993315202213176,0.07461627724505739,0.23982400991332808,0.016647436741840195,0,0.651131161827245,0.7591455524784045
Sample_070415_114_AdultHet_H5TJTBBXX,0.01574848876490487,0.4268879136476504,0.23640074052878737,0.040967541460293605,0.043916138380839756,0.21661152559012845,0.01946765162739555,0,0.5300015036630034,0.8512526207681248
Sample_070415_3_p21_WT_C7DMTACXX,0.03193514969554989,0.3849309400440594,0.1911899806799368,0.02589179720436059,0.2015818435392632,0.14455413459891345,0.0199161542379167,0,0.640675455636873,0.7674471326377653
Sample_070415_4_p21_WT_C7DMTACXX,0.041997257562622826,0.4408455665272815,0.2364357166605011,0.019022783674487558,0.17724144703319636,0.06542228280116787,0.01903494574074276,0,0.5624540718895841,0.8272032869011824
Sample_070415_5_p21_WT_C7DMTACXX,0.046032891369243406,0.37796290901855134,0.21401568407876176,0.027770214701708984,0.18004883429605664,0.13794529888840776,0.016224167647270082,0,0.6204859549218559,0.783824932953155
Sample_073014_29_AdultWT_H5TJTBBXX,0,0.3627028667940906,0.235406557435441,0.04837602966687096,0,0.34188349931511075,0.011631046788486787,0,0.6065048812856677,0.7962681558350931
Sample_073014_31_AdultWT_H5TJTBBXX,0.03997923818524393,0.39007061382348085,0.23224329588088527,0.04586333809183896,0,0.2721554637269425,0.019688050291608413,0,0.6042007851326181,0.7964308460595596
Sample_082615_1_p1Het_H5TJTBBXX,0.1307737664411384,0.3630472088024054,0.1952621165222924,0.3003709219071205,0.009275747433337528,0,0.0012702388937058215,0,0.35087341832721086,0.9443597639790339
Sample_082615_2_p1Het_H5TJTBBXX,0.10865253549511866,0.4872816490092343,0.11897895759935882,0.27882357882956554,0.0057518206027288975,0,0.0005,0,0.3679308385675984,0.939591996445501
Sample_082615_3_p1Het_H5TJTBBXX,0.1464101123508149,0.36796277662610033,0.15363521136627267,0.3182791336771374,0.012893846102050344,0,0.0008,0,0.3386720016459072,0.9474765649774676
Sample_082615_5_p1WT_H5TJTBBXX,0.17011754568453674,0.3228180763021189,0.19956193123371938,0.29560801156694116,0.010854212959027453,0,0.0010402222536563936,0,0.328722232274638,0.9524950507649479
Sample_082615_6_p1WT_H5TJTBBXX,0.1681411819432437,0.29804770420425786,0.15680845330347995,0.3688741736147845,0.008128486934234002,0,0,0,0.30856570363839114,0.9583752335337912
Sample_082615_8_p1WT_H5TJTBBXX,0.18202609178732218,0.370520175459309,0.2050685189896935,0.23334895318881196,0.005528681869129118,0,0.003507578705734334,0,0.36805506047247993,0.9351426921548947
Sample_090114_2_AdultWT_H5TJTBBXX,0.01664627475251241,0.2961910423486921,0.25472327340800943,0.04772626760632318,0,0.3621498692511821,0.022563272633280774,0,0.6616747211495856,0.7494598293886964
Sample_090614_24_AdultWT_H5TJTBBXX,0.01266614149303826,0.31710928398077504,0.21574699519333734,0.03793454471009627,0,0.4022401866192305,0.014302848003522588,0,0.5957936087204746,0.808700439758703
Sample_090614_3_AdultHet_H5TJTBBXX,0.005782170344693637,0.3511858660608524,0.25451494112013523,0.04547514060303547,0,0.3234119336256757,0.019629948245607553,0,0.5869838753287733,0.8111293112545974
