FileID,Line,Genotype,Age,SAMPLE_ID,bamFile,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
Sample_041615_86_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_041615_86_AdultHet_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_041615_86_AdultHet_H5TJTBBXX_accepted_hits.sorted.bam,138503890,124712660,13791230,0.9004,134102859,8324220,0.0584454870411265,0.512164856662465,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_041615_86_AdultHet_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_041615_86_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_062115_1_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_1_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_062115_1_p21_H_C7DMTACXX_accepted_hits.sorted.bam,59063562,54849393,4214169,0.9287,52382677,7096870,0.11931614072313,0.520949451661352,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_1_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_1_p21_H_C7DMTACXX_R2.fastq.gz
Sample_062115_2_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_2_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_062115_2_p21_H_C7DMTACXX_accepted_hits.sorted.bam,68682036,64603440,4078596,0.9406,60737800,8372660,0.121148954876006,0.541204400078836,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_2_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_2_p21_H_C7DMTACXX_R2.fastq.gz
Sample_062115_3_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_3_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_062115_3_p21_H_C7DMTACXX_accepted_hits.sorted.bam,43526982,38393283,5133699,0.8821,35789474,6073375,0.145077918609887,0.577013098323578,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_3_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_062115_3_p21_H_C7DMTACXX_R2.fastq.gz
Sample_070415_114_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_070415_114_AdultHet_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_070415_114_AdultHet_H5TJTBBXX_accepted_hits.sorted.bam,161727648,146960159,14767489,0.9087,159801182,8294696,0.0493450291505661,0.493266341830652,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_114_AdultHet_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_114_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_070415_3_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_3_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_070415_3_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,38278302,35517579,2760723,0.9279,33488984,4282257,0.113373479044546,0.505615964234053,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_3_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_3_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_070415_4_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_4_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_070415_4_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,46847496,43839027,3008469,0.9358,41879461,4815396,0.10312476168414,0.516933937740327,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_4_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_4_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_070415_5_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_5_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_070415_5_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,44178072,41278763,2899309,0.9344,38808122,5666603,0.127411760275078,0.549608215795607,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_5_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_070415_5_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_073014_29_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_073014_29_AdultWT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_073014_29_AdultWT_H5TJTBBXX_accepted_hits.sorted.bam,145611716,129366004,16245712,0.8884,140923709,10645952,0.0702380141893964,0.528590162318108,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_073014_29_AdultWT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_073014_29_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_073014_31_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_073014_31_AdultWT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_073014_31_AdultWT_H5TJTBBXX_accepted_hits.sorted.bam,105939018,96611417,9327601,0.912,102062135,8976367,0.0808401305702053,0.576943382575965,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_073014_31_AdultWT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_073014_31_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_082615_1_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_1_p1Het_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_1_p1Het_H5TJTBBXX_accepted_hits.sorted.bam,112956038,105910534,7045504,0.9376,113649624,3008272,0.025787127173972,0.515472987488448,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_1_p1Het_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_1_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_2_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_2_p1Het_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_2_p1Het_H5TJTBBXX_accepted_hits.sorted.bam,141426004,132573399,8852605,0.9374,143015122,4177358,0.0283802406209882,0.52985921622138,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_2_p1Het_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_2_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_3_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_3_p1Het_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_3_p1Het_H5TJTBBXX_accepted_hits.sorted.bam,134279966,124983954,9296012,0.9308,134712262,3276614,0.023745493803428,0.531678236657404,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_3_p1Het_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_3_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_5_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_5_p1WT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_5_p1WT_H5TJTBBXX_accepted_hits.sorted.bam,145253432,135997658,9255774,0.9363,147500883,3540157,0.0234383780726086,0.510409496779728,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_5_p1WT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_5_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_082615_6_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_6_p1WT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_6_p1WT_H5TJTBBXX_accepted_hits.sorted.bam,143321732,132970276,10351456,0.9278,144107870,3900208,0.0263513184733066,0.49440196317081,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_6_p1WT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_6_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_082615_8_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_8_p1WT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_082615_8_p1WT_H5TJTBBXX_accepted_hits.sorted.bam,126403142,117483334,8919808,0.9294,125676192,3930865,0.0303290969719342,0.520472043726411,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_8_p1WT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_082615_8_p1WT_H5TJTBBXX_R2.fastq.gz
