FileID,Line,Genotype,Age,SAMPLE_ID,bamFile,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
Sample_090114_2_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_090114_2_AdultWT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_090114_2_AdultWT_H5TJTBBXX_accepted_hits.sorted.bam,131958542,119515874,12442668,0.9057,128045978,8613019,0.0630256272113573,0.53975905280274,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090114_2_AdultWT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090114_2_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_090614_24_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_090614_24_AdultWT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_090614_24_AdultWT_H5TJTBBXX_accepted_hits.sorted.bam,110696548,93068539,17628009,0.8408,99853079,7938852,0.0736497799635856,0.538226382480574,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090614_24_AdultWT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090614_24_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_090614_3_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_090614_3_AdultHet_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_090614_3_AdultHet_H5TJTBBXX_accepted_hits.sorted.bam,129647002,120408482,9238520,0.9287,128363351,8653652,0.0631575046200653,0.547226761118963,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090614_3_AdultHet_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_090614_3_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_091614_4_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_091614_4_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_091614_4_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,49706540,46401880,3304660,0.9335,43907885,6756252,0.133353736983618,0.58341650548821,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_091614_4_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_091614_4_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_091614_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_091614_8_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_091614_8_p21_H_C7DMTACXX_accepted_hits.sorted.bam,52204382,48797642,3406740,0.9347,46420982,6744963,0.126866229877039,0.589060982892816,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_091614_8_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_091614_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_092214_3_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_092214_3_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_092214_3_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,42320788,38820237,3500551,0.9173,36241396,5955657,0.141139169126337,0.617464174655448,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_092214_3_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_092214_3_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_092214_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_092214_8_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_092214_8_p21_H_C7DMTACXX_accepted_hits.sorted.bam,55926368,52379765,3546603,0.9366,49086788,7516461,0.132792041672378,0.542898031536829,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_092214_8_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_092214_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_100914_7_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_100914_7_p21_WT_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_100914_7_p21_WT_C7DMTACXX_accepted_hits.sorted.bam,51623676,48116298,3507378,0.9321,44293817,7507152,0.144923003274321,0.60604700908865,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_100914_7_p21_WT_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_100914_7_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_100914_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_100914_8_p21_H_C7DMTACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_100914_8_p21_H_C7DMTACXX_accepted_hits.sorted.bam,40817402,37854106,2963296,0.9274,34817391,5566454,0.137838633245547,0.562276268137613,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_100914_8_p21_H_C7DMTACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_100914_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_111314_1_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_111314_1_p1Het_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_111314_1_p1Het_H5TJTBBXX_accepted_hits.sorted.bam,143303558,130733084,12570474,0.9123,141114804,3200193,0.0221750550291041,0.477995904841704,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_111314_1_p1Het_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_111314_1_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_112114_1_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_112114_1_p1WT_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_112114_1_p1WT_H5TJTBBXX_accepted_hits.sorted.bam,126039294,118172467,7866827,0.9376,130094073,3100228,0.0232759808544661,0.504800516096333,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_112114_1_p1WT_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_112114_1_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_121214_18_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_121214_18_AdultHet_H5TJTBBXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_121214_18_AdultHet_H5TJTBBXX_accepted_hits.sorted.bam,121520270,101858960,19661310,0.8382,110043497,8419115,0.0710698072401105,0.559745265851692,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_121214_18_AdultHet_H5TJTBBXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_121214_18_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_1_Adult_WT_090614_4_C76VFACXX,Maher,WT,Adult,Sample_1_Adult_WT_090614_4_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_1_Adult_WT_090614_4_C76VFACXX_accepted_hits.sorted.bam,126796112,97375164,29420948,0.768,105507593,5768761,0.0518417506741819,0.362223160965961,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_1_Adult_WT_090614_4_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_1_Adult_WT_090614_4_C76VFACXX_R2.fastq.gz
Sample_2_Adult_WT_090614_1_C76VFACXX,Maher,WT,Adult,Sample_2_Adult_WT_090614_1_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_2_Adult_WT_090614_1_C76VFACXX_accepted_hits.sorted.bam,101091186,84291519,16799667,0.8338,89093374,6404752,0.067066782022508,0.40802189758213,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_2_Adult_WT_090614_1_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_2_Adult_WT_090614_1_C76VFACXX_R2.fastq.gz
Sample_3_Adult_HT_090614_5_C76VFACXX,Maher,HT,Adult,Sample_3_Adult_HT_090614_5_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_3_Adult_HT_090614_5_C76VFACXX_accepted_hits.sorted.bam,140884310,98733242,42151068,0.7008,106086465,4773909,0.0430623569788787,0.252062109418044,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_3_Adult_HT_090614_5_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_3_Adult_HT_090614_5_C76VFACXX_R2.fastq.gz
Sample_4_Adult_HT_090114_6__C76VFACXX,Maher,HT,Adult,Sample_4_Adult_HT_090114_6__C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_4_Adult_HT_090114_6__C76VFACXX_accepted_hits.sorted.bam,206163546,188564999,17598547,0.9146,196272366,15075178,0.0713288534831519,0.464608127646396,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_4_Adult_HT_090114_6__C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_4_Adult_HT_090114_6__C76VFACXX_R2.fastq.gz
Sample_5_p1_WT_112114_2_C76VFACXX,Maher,WT,p1,Sample_5_p1_WT_112114_2_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_5_p1_WT_112114_2_C76VFACXX_accepted_hits.sorted.bam,127623452,123549053,4074399,0.9681,131257253,4578633,0.0337070941621421,0.55673797196689,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_5_p1_WT_112114_2_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_5_p1_WT_112114_2_C76VFACXX_R2.fastq.gz
Sample_6_p1_WT_113014_2_C76VFACXX,Maher,WT,p1,Sample_6_p1_WT_113014_2_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_6_p1_WT_113014_2_C76VFACXX_accepted_hits.sorted.bam,110154220,105207751,4946469,0.9551,109311363,3325779,0.029526486032467,0.474308093828828,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_6_p1_WT_113014_2_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_6_p1_WT_113014_2_C76VFACXX_R2.fastq.gz
Sample_7_p1_HT_100914_2_C76VFACXX,Maher,HT,p1,Sample_7_p1_HT_100914_2_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_7_p1_HT_100914_2_C76VFACXX_accepted_hits.sorted.bam,113704472,108557025,5147447,0.9547,114898907,3460962,0.0292410090450506,0.538569753541696,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_7_p1_HT_100914_2_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_7_p1_HT_100914_2_C76VFACXX_R2.fastq.gz
Sample_8_p1_HT_100914_1_C76VFACXX,Maher,HT,p1,Sample_8_p1_HT_100914_1_C76VFACXX,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/HISAT2_out/Sample_8_p1_HT_100914_1_C76VFACXX_accepted_hits.sorted.bam,128894784,125566426,3328358,0.9742,131774380,5687903,0.0413779174611846,0.604343879483653,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_8_p1_HT_100914_1_C76VFACXX_R1.fastq.gz,/dcl01/lieber/ajaffe/Brady/mouseRNAseq/FASTQ2/Sample_8_p1_HT_100914_1_C76VFACXX_R2.fastq.gz
FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1,R579W,HT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1_accepted_hits.sorted.bam,35536529,34343817,1192712,0.9664,31132850,5196831,0.143046425318185,0.825379881924666,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1.fq.gz,NA
FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1,R579W,WT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1_accepted_hits.sorted.bam,38148212,36790596,1357616,0.9644,34359538,4873797,0.124225916557947,0.812429566577508,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1.fq.gz,NA
FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1,R579W,HT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1_accepted_hits.sorted.bam,39906278,38429429,1476849,0.963,35722889,4995199,0.122677641445247,0.822134511750423,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1,R579W,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1_accepted_hits.sorted.bam,31444542,30405796,1038746,0.967,28042402,4028662,0.125616724159822,0.830115226867163,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1,R579W,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1_accepted_hits.sorted.bam,34938880,33753491,1185389,0.9661,31578703,4920358,0.134807796836198,0.787417633855102,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1,R579W,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1_accepted_hits.sorted.bam,30694913,29627313,1067600,0.9652,27624138,3838158,0.121992304693847,0.819606543637355,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1,Del,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1_accepted_hits.sorted.bam,34488120,33315139,1172981,0.966,30591912,4445275,0.126873056332976,0.833866652264902,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1,Del,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1_accepted_hits.sorted.bam,31910957,30915907,995050,0.9688,27901296,4670473,0.143390216232959,0.83261694601302,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1.fq.gz,NA
