Probe ID,Gene Symbol,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEgreen,kMEgreenyellow,kMEgrey60,kMElightcyan,kMElightgreen,kMEmagenta,kMEmidnightblue,kMEpink,kMEpurple,kMEred,kMEsalmon,kMEtan,kMEturquoise,kMEyellow,
ILMN_1343291,EEF1A1,0.019044379,0.26141012,-0.142331,-0.295253474,0.046979308,-0.416994545,-0.342430389,-0.135315764,0.461412973,-0.124484192,0.313336747,-0.266608936,0.086468339,0.235380464,-0.338792262,0.112472165,0.184631994,-0.581527964,
ILMN_1651228,RPS28,-0.332431105,-0.676946265,0.5638336,0.700193137,0.644934413,0.526147804,0.406480438,-0.601292659,0.176063709,0.696173672,0.168764328,-0.628299331,0.724600083,0.232845759,-0.215207477,0.643365417,-0.72752373,0.224319674,
ILMN_1651229,IPO13,-0.301186291,-0.424057661,0.497438743,0.359462734,0.743884394,0.429670483,0.262687481,-0.333486558,-0.197704445,0.158200195,-0.135856464,-0.225603825,0.451764576,0.701387032,-0.138021459,0.034348993,-0.482130426,0.141916341,
ILMN_1651254,LPP,-0.293708478,-0.874716632,0.530298177,0.770847776,0.709751092,0.693269679,0.640521892,-0.7059822,-0.000499494,0.889437893,0.254259686,-0.593934864,0.855223352,0.233301853,-0.068913085,0.761629875,-0.887118651,0.442499258,
ILMN_1651262,HNRPAB,-0.114636911,0.394047553,-0.266800147,-0.360880679,-0.178389952,-0.461469388,-0.554427685,0.022901463,0.385211569,-0.234006981,0.503618103,-0.229550564,-0.104546,0.04275529,-0.43315901,0.155785342,0.260886294,-0.518156259,
ILMN_1651278,SNIP1,0.362794827,0.455317585,-0.449011974,-0.534282715,-0.283362619,-0.628201942,-0.349597375,0.296057727,0.081883709,-0.49571362,0.045008717,0.174845596,-0.30131661,0.129814297,-0.029072173,-0.356460113,0.544597391,-0.543589299,
ILMN_1651282,COL17A1,-0.091430915,-0.492822209,0.458249544,0.431950132,0.536469824,0.378482878,0.410458197,-0.290243556,-0.21922895,0.287868408,-0.2432548,-0.188650084,0.428621884,0.370354817,0.058555477,0.126377101,-0.434874389,0.205129579,
ILMN_1651315,HMG20B,-0.526568774,-0.739848757,0.489103521,0.7425235,0.805023011,0.597925004,0.389944675,-0.814042473,0.178114391,0.814668886,0.319054812,-0.764309478,0.881654984,0.450332195,-0.382438606,0.744869749,-0.903613392,0.252173612,
ILMN_1651346,TICAM2,0.331364488,-0.539738526,-0.086998631,0.37802782,0.212385017,0.232464275,0.55308974,-0.327258138,-0.024945354,0.373535004,0.361513621,-0.200626407,0.472823303,0.091656441,0.251565031,0.436875704,-0.302351,0.176809875,
ILMN_1651347,SERTAD2,0.198681377,-0.109162499,-0.284988044,-0.072829244,0.199831345,-0.26160971,0.117970424,-0.021434236,-0.051536524,-0.021204905,0.210420628,-0.116695834,0.245002244,0.44851471,-0.016392073,0.085509511,0.004995845,-0.235963074,
