FileID,Line,Genotype,Age,SAMPLE_ID,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
Sample_041615_86_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_041615_86_AdultHet_H5TJTBBXX,138503890,124712660,13791230,0.9004,134102859,8324220,0.0584454870411265,0.512164856662465,Sample_041615_86_AdultHet_H5TJTBBXX_R1.fastq.gz,Sample_041615_86_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_062115_1_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_1_p21_H_C7DMTACXX,59063562,54849393,4214169,0.9287,52382677,7096870,0.11931614072313,0.520949451661352,Sample_062115_1_p21_H_C7DMTACXX_R1.fastq.gz,Sample_062115_1_p21_H_C7DMTACXX_R2.fastq.gz
Sample_062115_2_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_2_p21_H_C7DMTACXX,68682036,64603440,4078596,0.9406,60737800,8372660,0.121148954876006,0.541204400078836,Sample_062115_2_p21_H_C7DMTACXX_R1.fastq.gz,Sample_062115_2_p21_H_C7DMTACXX_R2.fastq.gz
Sample_062115_3_p21_H_C7DMTACXX,Maher,HT,p21,Sample_062115_3_p21_H_C7DMTACXX,43526982,38393283,5133699,0.8821,35789474,6073375,0.145077918609887,0.577013098323578,Sample_062115_3_p21_H_C7DMTACXX_R1.fastq.gz,Sample_062115_3_p21_H_C7DMTACXX_R2.fastq.gz
Sample_070415_114_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_070415_114_AdultHet_H5TJTBBXX,161727648,146960159,14767489,0.9087,159801182,8294696,0.0493450291505661,0.493266341830652,Sample_070415_114_AdultHet_H5TJTBBXX_R1.fastq.gz,Sample_070415_114_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_070415_3_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_3_p21_WT_C7DMTACXX,38278302,35517579,2760723,0.9279,33488984,4282257,0.113373479044546,0.505615964234053,Sample_070415_3_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_070415_3_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_070415_4_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_4_p21_WT_C7DMTACXX,46847496,43839027,3008469,0.9358,41879461,4815396,0.10312476168414,0.516933937740327,Sample_070415_4_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_070415_4_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_070415_5_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_070415_5_p21_WT_C7DMTACXX,44178072,41278763,2899309,0.9344,38808122,5666603,0.127411760275078,0.549608215795607,Sample_070415_5_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_070415_5_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_073014_29_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_073014_29_AdultWT_H5TJTBBXX,145611716,129366004,16245712,0.8884,140923709,10645952,0.0702380141893964,0.528590162318108,Sample_073014_29_AdultWT_H5TJTBBXX_R1.fastq.gz,Sample_073014_29_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_073014_31_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_073014_31_AdultWT_H5TJTBBXX,105939018,96611417,9327601,0.912,102062135,8976367,0.0808401305702053,0.576943382575965,Sample_073014_31_AdultWT_H5TJTBBXX_R1.fastq.gz,Sample_073014_31_AdultWT_H5TJTBBXX_R2.fastq.gz
