FileID,Line,Genotype,Age,SAMPLE_ID,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
Sample_082615_1_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_1_p1Het_H5TJTBBXX,112956038,105910534,7045504,0.9376,113649624,3008272,0.025787127173972,0.515472987488448,Sample_082615_1_p1Het_H5TJTBBXX_R1.fastq.gz,Sample_082615_1_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_2_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_2_p1Het_H5TJTBBXX,141426004,132573399,8852605,0.9374,143015122,4177358,0.0283802406209882,0.52985921622138,Sample_082615_2_p1Het_H5TJTBBXX_R1.fastq.gz,Sample_082615_2_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_3_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_082615_3_p1Het_H5TJTBBXX,134279966,124983954,9296012,0.9308,134712262,3276614,0.023745493803428,0.531678236657404,Sample_082615_3_p1Het_H5TJTBBXX_R1.fastq.gz,Sample_082615_3_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_082615_5_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_5_p1WT_H5TJTBBXX,145253432,135997658,9255774,0.9363,147500883,3540157,0.0234383780726086,0.510409496779728,Sample_082615_5_p1WT_H5TJTBBXX_R1.fastq.gz,Sample_082615_5_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_082615_6_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_6_p1WT_H5TJTBBXX,143321732,132970276,10351456,0.9278,144107870,3900208,0.0263513184733066,0.49440196317081,Sample_082615_6_p1WT_H5TJTBBXX_R1.fastq.gz,Sample_082615_6_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_082615_8_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_082615_8_p1WT_H5TJTBBXX,126403142,117483334,8919808,0.9294,125676192,3930865,0.0303290969719342,0.520472043726411,Sample_082615_8_p1WT_H5TJTBBXX_R1.fastq.gz,Sample_082615_8_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_090114_2_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_090114_2_AdultWT_H5TJTBBXX,131958542,119515874,12442668,0.9057,128045978,8613019,0.0630256272113573,0.53975905280274,Sample_090114_2_AdultWT_H5TJTBBXX_R1.fastq.gz,Sample_090114_2_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_090614_24_AdultWT_H5TJTBBXX,Maher,WT,Adult,Sample_090614_24_AdultWT_H5TJTBBXX,110696548,93068539,17628009,0.8408,99853079,7938852,0.0736497799635856,0.538226382480574,Sample_090614_24_AdultWT_H5TJTBBXX_R1.fastq.gz,Sample_090614_24_AdultWT_H5TJTBBXX_R2.fastq.gz
Sample_090614_3_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_090614_3_AdultHet_H5TJTBBXX,129647002,120408482,9238520,0.9287,128363351,8653652,0.0631575046200653,0.547226761118963,Sample_090614_3_AdultHet_H5TJTBBXX_R1.fastq.gz,Sample_090614_3_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_091614_4_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_091614_4_p21_WT_C7DMTACXX,49706540,46401880,3304660,0.9335,43907885,6756252,0.133353736983618,0.58341650548821,Sample_091614_4_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_091614_4_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_091614_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_091614_8_p21_H_C7DMTACXX,52204382,48797642,3406740,0.9347,46420982,6744963,0.126866229877039,0.589060982892816,Sample_091614_8_p21_H_C7DMTACXX_R1.fastq.gz,Sample_091614_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_092214_3_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_092214_3_p21_WT_C7DMTACXX,42320788,38820237,3500551,0.9173,36241396,5955657,0.141139169126337,0.617464174655448,Sample_092214_3_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_092214_3_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_092214_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_092214_8_p21_H_C7DMTACXX,55926368,52379765,3546603,0.9366,49086788,7516461,0.132792041672378,0.542898031536829,Sample_092214_8_p21_H_C7DMTACXX_R1.fastq.gz,Sample_092214_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_100914_7_p21_WT_C7DMTACXX,Maher,WT,p21,Sample_100914_7_p21_WT_C7DMTACXX,51623676,48116298,3507378,0.9321,44293817,7507152,0.144923003274321,0.60604700908865,Sample_100914_7_p21_WT_C7DMTACXX_R1.fastq.gz,Sample_100914_7_p21_WT_C7DMTACXX_R2.fastq.gz
Sample_100914_8_p21_H_C7DMTACXX,Maher,HT,p21,Sample_100914_8_p21_H_C7DMTACXX,40817402,37854106,2963296,0.9274,34817391,5566454,0.137838633245547,0.562276268137613,Sample_100914_8_p21_H_C7DMTACXX_R1.fastq.gz,Sample_100914_8_p21_H_C7DMTACXX_R2.fastq.gz
Sample_111314_1_p1Het_H5TJTBBXX,Maher,HT,p1,Sample_111314_1_p1Het_H5TJTBBXX,143303558,130733084,12570474,0.9123,141114804,3200193,0.0221750550291041,0.477995904841704,Sample_111314_1_p1Het_H5TJTBBXX_R1.fastq.gz,Sample_111314_1_p1Het_H5TJTBBXX_R2.fastq.gz
Sample_112114_1_p1WT_H5TJTBBXX,Maher,WT,p1,Sample_112114_1_p1WT_H5TJTBBXX,126039294,118172467,7866827,0.9376,130094073,3100228,0.0232759808544661,0.504800516096333,Sample_112114_1_p1WT_H5TJTBBXX_R1.fastq.gz,Sample_112114_1_p1WT_H5TJTBBXX_R2.fastq.gz
Sample_121214_18_AdultHet_H5TJTBBXX,Maher,HT,Adult,Sample_121214_18_AdultHet_H5TJTBBXX,121520270,101858960,19661310,0.8382,110043497,8419115,0.0710698072401105,0.559745265851692,Sample_121214_18_AdultHet_H5TJTBBXX_R1.fastq.gz,Sample_121214_18_AdultHet_H5TJTBBXX_R2.fastq.gz
Sample_1_Adult_WT_090614_4_C76VFACXX,Maher,WT,Adult,Sample_1_Adult_WT_090614_4_C76VFACXX,126796112,97375164,29420948,0.768,105507593,5768761,0.0518417506741819,0.362223160965961,Sample_1_Adult_WT_090614_4_C76VFACXX_R1.fastq.gz,Sample_1_Adult_WT_090614_4_C76VFACXX_R2.fastq.gz
Sample_2_Adult_WT_090614_1_C76VFACXX,Maher,WT,Adult,Sample_2_Adult_WT_090614_1_C76VFACXX,101091186,84291519,16799667,0.8338,89093374,6404752,0.067066782022508,0.40802189758213,Sample_2_Adult_WT_090614_1_C76VFACXX_R1.fastq.gz,Sample_2_Adult_WT_090614_1_C76VFACXX_R2.fastq.gz
Sample_3_Adult_HT_090614_5_C76VFACXX,Maher,HT,Adult,Sample_3_Adult_HT_090614_5_C76VFACXX,140884310,98733242,42151068,0.7008,106086465,4773909,0.0430623569788787,0.252062109418044,Sample_3_Adult_HT_090614_5_C76VFACXX_R1.fastq.gz,Sample_3_Adult_HT_090614_5_C76VFACXX_R2.fastq.gz
Sample_4_Adult_HT_090114_6__C76VFACXX,Maher,HT,Adult,Sample_4_Adult_HT_090114_6__C76VFACXX,206163546,188564999,17598547,0.9146,196272366,15075178,0.0713288534831519,0.464608127646396,Sample_4_Adult_HT_090114_6__C76VFACXX_R1.fastq.gz,Sample_4_Adult_HT_090114_6__C76VFACXX_R2.fastq.gz
Sample_5_p1_WT_112114_2_C76VFACXX,Maher,WT,p1,Sample_5_p1_WT_112114_2_C76VFACXX,127623452,123549053,4074399,0.9681,131257253,4578633,0.0337070941621421,0.55673797196689,Sample_5_p1_WT_112114_2_C76VFACXX_R1.fastq.gz,Sample_5_p1_WT_112114_2_C76VFACXX_R2.fastq.gz
Sample_6_p1_WT_113014_2_C76VFACXX,Maher,WT,p1,Sample_6_p1_WT_113014_2_C76VFACXX,110154220,105207751,4946469,0.9551,109311363,3325779,0.029526486032467,0.474308093828828,Sample_6_p1_WT_113014_2_C76VFACXX_R1.fastq.gz,Sample_6_p1_WT_113014_2_C76VFACXX_R2.fastq.gz
Sample_7_p1_HT_100914_2_C76VFACXX,Maher,HT,p1,Sample_7_p1_HT_100914_2_C76VFACXX,113704472,108557025,5147447,0.9547,114898907,3460962,0.0292410090450506,0.538569753541696,Sample_7_p1_HT_100914_2_C76VFACXX_R1.fastq.gz,Sample_7_p1_HT_100914_2_C76VFACXX_R2.fastq.gz
Sample_8_p1_HT_100914_1_C76VFACXX,Maher,HT,p1,Sample_8_p1_HT_100914_1_C76VFACXX,128894784,125566426,3328358,0.9742,131774380,5687903,0.0413779174611846,0.604343879483653,Sample_8_p1_HT_100914_1_C76VFACXX_R1.fastq.gz,Sample_8_p1_HT_100914_1_C76VFACXX_R2.fastq.gz
FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1,R579W,HT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1,35536529,34343817,1192712,0.9664,31132850,5196831,0.143046425318185,0.825379881924666,FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1.fq.gz,NA
FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1,R579W,WT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1,38148212,36790596,1357616,0.9644,34359538,4873797,0.124225916557947,0.812429566577508,FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1.fq.gz,NA
FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1,R579W,HT,Adult,FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1,39906278,38429429,1476849,0.963,35722889,4995199,0.122677641445247,0.822134511750423,FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1,R579W,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1,31444542,30405796,1038746,0.967,28042402,4028662,0.125616724159822,0.830115226867163,FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1,R579W,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1,34938880,33753491,1185389,0.9661,31578703,4920358,0.134807796836198,0.787417633855102,FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1,R579W,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1,30694913,29627313,1067600,0.9652,27624138,3838158,0.121992304693847,0.819606543637355,FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1,Del,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1,34488120,33315139,1172981,0.966,30591912,4445275,0.126873056332976,0.833866652264902,FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1,Del,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1,31910957,30915907,995050,0.9688,27901296,4670473,0.143390216232959,0.83261694601302,FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1,Del,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1,25000108,24198349,801759,0.9679,22786956,3479903,0.132482646668945,0.780603277206732,FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1,Del,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1,35104933,33983855,1121078,0.9681,31210401,4673730,0.130245037841379,0.829657467561273,FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1,Del,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1,32878595,31826112,1052483,0.968,29749040,3762353,0.112270862628719,0.834414655344884,FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1,Del,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1,33890870,32806171,1084699,0.968,30064918,4634574,0.133563165708593,0.826994064079774,FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1,26834333,25961497,872836,0.9675,24049948,3592879,0.129975092634339,0.816221960676314,FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1,28395557,27448676,946881,0.9667,25321361,3717808,0.128027355052757,0.828344732467976,FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1,32308110,31278148,1029962,0.9681,28437326,4540755,0.137690091791575,0.831866212124813,FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1,26677096,25797042,880054,0.967,24091561,3932973,0.14034035320623,0.779189923943706,FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1,33279447,32209638,1069809,0.9679,30380041,4808003,0.136637404454763,0.771779420615383,FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1,30003299,29053217,950082,0.9683,27687937,3797374,0.120607797077183,0.785694776464155,FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1,R579W,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1,30139847,29150160,989687,0.9672,26669328,4097590,0.133181685601398,0.830407795271707,FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1,R579W,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1,30199333,29176020,1023313,0.9661,26965737,4086895,0.131611871096788,0.814149818199798,FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1,R579W,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1,28538305,27569231,969074,0.966,26004713,3668778,0.123638233196087,0.798175445291387,FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1,R579W,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1,29211056,28252567,958489,0.9672,25962874,4003596,0.133602523086637,0.821288189224227,FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1,Del,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1,25721271,24707442,1013829,0.9606,23188325,3343399,0.126015143230044,0.794261003114123,FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1,Del,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1,32373169,31241143,1132026,0.965,28292927,4886418,0.147272889202605,0.816969239274235,FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1,Del,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1,30326184,29255684,1070500,0.9647,27319947,3597683,0.116363479348191,0.825284067396108,FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1,Del,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1,30777960,29728395,1049565,0.9659,27391282,4209081,0.133197235740615,0.8149150846411,FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1,Del,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1,28496499,27129608,1366891,0.952,27112948,1526406,0.0532975010539693,0.833621772839421,FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1,Del,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1,31416650,29940296,1476354,0.953,29135297,1794034,0.0580042937236502,0.871099008411398,FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1,Nest,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1,29860720,28403399,1457321,0.9512,28468247,1765326,0.0583895922589103,0.816774834756068,FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1,Nest,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1,31166752,29684484,1482268,0.9524,29279214,2119280,0.0674962308701812,0.825402526727649,FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1,Nest,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1,32675020,31012226,1662794,0.9491,30701155,2289337,0.0693938423228123,0.823026855868347,FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1,Nest,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1,25717669,24484609,1233060,0.9521,24358134,1433119,0.0555660866883823,0.840485835545448,FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1,Nest,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1,24496560,23342150,1154410,0.9529,23393518,1388398,0.0560246431309024,0.824375696598604,FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1,Nest,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1,29700811,28336042,1364769,0.954,27961958,1638634,0.0553581495937649,0.853776735485004,FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1,32200760,30746574,1454186,0.9548,30035920,2033712,0.0634155078549077,0.854450688459725,FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1,32117669,30596359,1521310,0.9526,29980963,2021208,0.0631584650928839,0.850296292138373,FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1,31056859,29603979,1452880,0.9532,29261091,1580129,0.051234322118256,0.855993655532204,FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1,31882596,30340309,1542287,0.9516,30714804,1614329,0.0499341878422784,0.819388897118504,FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1,32996245,31239908,1756337,0.9468,30940444,1593554,0.0489811919211405,0.86220210264061,FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1,27591913,26330703,1261210,0.9543,26279519,1322495,0.0479129892478136,0.848073208989905,FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1,26888231,25520610,1367621,0.9491,25747785,1434603,0.0527769304153851,0.821637335502909,FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1,33739741,32111086,1628655,0.9517,32551620,1854190,0.0538917700237256,0.813416967747673,FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1,R579W,HT,P1,FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1,30260034,28641357,1618677,0.9465,32020461,499804,0.0153690014518639,0.745936120828191,FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1,R579W,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1,39617636,37242949,2374687,0.9401,41184496,628455,0.0150301517823987,0.75965116290745,FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1.fq.gz,NA
